Complexity,Loss,Equation
1,1.6918902,"2.805791"
3,1.5729675,"3.6467547 - x3"
5,1.5604954,"(x2 + 3.529412) - x3"
6,1.5543082,"(x1 - abs(x0)) + 3.440695"
7,0.9802603,"(x1 / (x1 + -0.11747078)) + 1.9647466"
8,0.9406245,"2.495158 / abs((x1 + -0.09313257) / x1)"
9,0.85608816,"(1.2827494 / ((x1 + -0.11643792) / x1)) + 1.4386451"
10,0.85391843,"exp((-0.24338047 / ((x1 + -0.08918756) / -0.24339484)) + 0.97481465)"
11,0.7848276,"(x1 + (1.6294228 / ((x1 + -0.09073262) / x1))) - -1.808667"
12,0.7846295,"x1 + abs(1.2408311 - (-2.263363 / ((-0.06690084 / x1) + 0.95415556)))"
13,0.77542543,"(x1 + ((x2 + 1.624765) / ((x1 + -0.089868516) / x1))) - -1.8387663"
14,0.74729145,"(x1 + abs(-1.0012254 - (3.5668268 / ((-0.14989823 / x1) + 1.853361)))) - -0.6184968"
16,0.7285798,"0.73313826 + abs(-0.9559818 - ((x1 + 1.7820648) / (exp(abs(x0)) + (-0.08546703 / x1))))"
18,0.7242411,"abs(abs(abs(-0.99283874 - ((x1 + 1.8520533) / (exp(abs(x0)) + (-0.08300347 / x1)))))) + 0.69053507"
19,0.7241424,"abs((abs(-0.9559818 - ((x1 + 1.7820648) / (exp(abs(x0)) + (-0.08546703 / x1)))) - x0) + 0.73313826)"
20,0.7100856,"(x2 - -0.4997477) + abs(x2 - (-1.0350513 - ((x1 + 2.0395505) / (exp(abs(x0)) + (-0.07912746 / x1)))))"
